NO,국문,영문,학명,관리현황,분류군,학명-수정
,배스,Largemouth bass,Micropterus salmoides</em>,"외래생물, 생태계교란 생물",어류,Micropterus salmoides
,붉은불개미,Red imported fire ant(RIFA),Solenopsis invicta</em>,"외래생물, 생태계교란 생물",곤충,Solenopsis invicta
,브라운송어,Brown trout,Salmo trutta</em>,생태계교란 생물,어류,Salmo trutta
,블루길,Bluegill,Lepomis macrochirus</em>,"외래생물, 생태계교란 생물",어류,Lepomis macrochirus
,빗살무늬미주메뚜기,Differential grasshopper,Melanoplus differentialis</em>,"외래생물, 생태계교란 생물",곤충,Melanoplus differentialis
,서양금혼초,Cats-ear,Hypochaeris radicata</em> L.,"외래생물, 생태계교란 생물",식물,Hypochaeris radicata
,서양등골나물,White Snakeroot,Ageratina altissima</em> (L.) R. M. King &amp; H. Rob.,"외래생물, 생태계교란 생물",식물,Ageratina altissima
,아르헨티나개미,Argentine ant,Linepithema humile</em>,"외래생물, 생태계교란 생물",곤충,Linepithema humile
,악어거북,Alligator snapping turtle,Macrochelys temminckii</em>,"외래생물, 생태계교란 생물",파충류,Macrochelys temminckii
,애기수영,"Sheep-sorrel, Red-sorrel",Rumex acetosella</em> L.,"외래생물, 생태계교란 생물",식물,Rumex acetosella
,양미역취,Tall Golden-rod,Solidago altissima</em> (Aiton) McNeill,"외래생물, 생태계교란 생물",식물,Solidago altissima
,열대불개미,Tropical fire ant,Solenopsis geminata</em>,생태계교란 생물,곤충,Solenopsis geminata
,영국갯끈풀,"Common cordgrass, English cordgrass, Rice grass, Saltmarsh grass",Spartina anglica</em> C. E. Hubb.,"외래생물, 생태계교란 생물",식물,Spartina anglica
,중국줄무늬목거북,Chinese Striped-necked Turtle,Mauremys sinensis</em>,"외래생물, 생태계교란 생물",파충류,Mauremys sinensis
,털물참새피,Knot Grass,Paspalum distichum</em> var. indutum</em> Shinners,"외래생물, 생태계교란 생물",식물,Paspalum distichum
,플로리다붉은배거북,Florida red-bellied cooter,Pseudemys nelsoni</em>,"외래생물, 생태계교란 생물",파충류,Pseudemys nelsoni
,환삼덩굴,Japanese Hop,Humulus japonicus</em> Siebold &amp; Zucc.,생태계교란 생물,식물,Humulus japonicus
,황소개구리,American Bull frog,Lithobates catesbeianus</em>,"외래생물, 생태계교란 생물",양서류,Lithobates catesbeianus
,붉은귀거북속 전종,Pond slider,Trachemys</em> spp.,"외래생물, 생태계교란 생물",파충류,Trachemys
