NO,국문,영문,학명,관리현황,분류군,학명-수정
199,돼지거미,Woodlouse spider,Dysdera crocata</em>,유입주의 생물,무척추동물,Dysdera crocata
200,야생오이,Wild cucumber,Echinocystis lobata</em> Torr. &amp; A. Gray,유입주의 생물,식물,Echinocystis lobata
201,유럽푸른지치,"Viper&apos;s bugloss, Blueweed",Echium vulgare</em> L.,유입주의 생물,식물,Echium vulgare
202,자주초원기장풀,,Ehrharta calycina</em> Sm.,유입주의 생물,식물,Ehrharta calycina
203,초원기장풀,"Panic veld grass, panic veldtgrass",Ehrharta erecta</em> Lam.,유입주의 생물,식물,Ehrharta erecta
204,긴꽃초원기장풀,Long-flowered Veldtgrass,Ehrharta longiflora</em> Eckl. ex Schult.f.,유입주의 생물,식물,Ehrharta longiflora
205,닻부레옥잠,"Anchored water hyacinth, rooted water hyacinth",Eichhornia azurea</em> (Sw.) Kunth,유입주의 생물,식물,Eichhornia azurea
206,사불상,Pere David&apos;s deer,Elaphurus davidianus</em>,"외래생물, 유입주의 생물",포유류,Elaphurus davidianus
207,코키개구리,,Eleutherodactylus coqui</em>,유입주의 생물,양서류,Eleutherodactylus coqui
208,소앤틸리스휘슬개구리,,Eleutherodactylus johnstonei</em>,유입주의 생물,양서류,Eleutherodactylus johnstonei
209,온실개구리,,Eleutherodactylus planirostris</em>,유입주의 생물,양서류,Eleutherodactylus planirostris
210,뜰겨울잠쥐,Garden dormouse,Eliomys quercinus</em>,유입주의 생물,포유류,Eliomys quercinus
211,캐나다말,Western waterweed,Elodea nuttallii</em> (Planch.) H. St. John,유입주의 생물,식물,Elodea nuttallii
212,노란뺨긴황어,Yellow cheek,Elopichthys bambusa</em>,"외래생물, 유입주의 생물",어류,Elopichthys bambusa
213,가시개소리쟁이,Devil’s thorn,Emex spinosa</em> (L.) Campd.,유입주의 생물,식물,Emex spinosa
214,줄무늬블루길,,Enneacanthus obesus</em>,유입주의 생물,어류,Enneacanthus obesus
215,콜롬비아무지개보아,Colombian rainbow boa,Epicrates maurus</em>,유입주의 생물,파충류,Epicrates maurus
216,서유럽황갈색두꺼비,Natterjack toad,Epidalea calamita</em>,유입주의 생물,양서류,Epidalea calamita
217,프랑켓견장과일박쥐,Franquet’s epauletted fruit bat,Epomops franqueti</em>,유입주의 생물,포유류,Epomops franqueti
218,갈래잎붉은서나물,Tropical burnweed,Erechtites valerianifolius</em> (Link ex Spreng.) DC.,유입주의 생물,식물,Erechtites valerianifolius
219,유럽가솔송,"Spanish heath, Portuguese heath",Erica lusitanica</em> Rudolphi,유입주의 생물,식물,Erica lusitanica
220,갈색가슴고슴도치,,Erinaceus europaeus</em> ssp. occidentalis</em>,유입주의 생물,포유류,Erinaceus europaeus
221,북방민물꼬치고기,Northern pike,Esox lucius</em>,유입주의 생물,어류,Esox lucius
222,검정민물꼬치고기,Chain pickerel,Esox niger</em>,유입주의 생물,어류,Esox niger
